day,total_err,false_pos,false_neg
1,1.93,1.005,0.925
2,1.8925,1.0325,0.86
3,1.9166666666666667,1.0966666666666667,0.82
4,1.91625,1.16875,0.7475
5,1.914,1.247,0.667
6,1.9591666666666667,1.2816666666666667,0.6775
7,1.9492857142857143,1.2871428571428571,0.6621428571428571
8,1.981875,1.291875,0.69
9,1.9661111111111111,1.2677777777777777,0.6983333333333334
10,2.042,1.229,0.813
11,2.024090909090909,1.229090909090909,0.795
12,1.97625,1.2016666666666667,0.7745833333333333
13,1.968846153846154,1.1865384615384615,0.7823076923076923
14,1.9285714285714286,1.1685714285714286,0.76
15,1.9076666666666666,1.151,0.7566666666666667
16,1.8909375,1.14125,0.7496875
17,1.8705882352941177,1.1255882352941176,0.745
18,1.8397222222222223,1.1102777777777777,0.7294444444444445
19,1.8271052631578948,1.1057894736842104,0.7213157894736842
20,1.8365,1.1015,0.735
21,1.822142857142857,1.0983333333333334,0.7238095238095238
22,1.8238636363636365,1.094090909090909,0.7297727272727272
23,1.8502173913043478,1.0897826086956521,0.7604347826086957
24,1.8745833333333333,1.0875,0.7870833333333334
25,1.8708,1.1022,0.7686
26,1.8596153846153847,1.0913461538461537,0.7682692307692308
27,1.8614814814814815,1.084074074074074,0.7774074074074074
28,1.8664285714285713,1.0694642857142858,0.7969642857142857
29,1.893448275862069,1.0586206896551724,0.8348275862068966
